"Timestamp","First.name","Last.name","Sexe","Age","Address","Phone.number","E.mail","Where.are.you.from..","What.level.of.education.are.you.currently.completing..","What.school.are.you.currently.studying.at..","What.s.your.work.status..","What.field.do.you.work.in..","How.did.you.find.out.about.our.event..","Comments.if.needed"
"03/09/2020 22:16","NA","NA","Male","Between 20 and 30","NA","NA","NA","Tunisia","Doctorate degree","FST","Studying","Biology","Facebook",""
"04/09/2020 09:08","NA","NA","Male","Between 20 and 30","NA","NA","NA","Tunisia","Master's degree","FST","Studying","Biology","A friend",""
"04/09/2020 10:53","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","Doctorate degree","ENIS","Studying","Biology","Facebook",""
"04/09/2020 11:19","NA","NA","Male","Between 20 and 30","NA","NA","NA","India","Master's degree","None","Studying","Biology","Facebook",""
"04/09/2020 12:49","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","Doctorate degree","FST","Studying","Biology","Facebook","is there any attendance certificate in the end of the meetup?"
"04/09/2020 15:17","NA","NA","Male","Between 20 and 30","NA","NA","NA","Egypt","College degree","Al-azhar","Studying","Science, Engineering, Technology, & Mathematics","LinkedIn","many thanks"
"04/09/2020 17:15","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","Doctorate degree","Faculty of sciences of sfax","Studying","Biology","Facebook",""
"05/09/2020 08:06","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","Engineering degree","INSAT","Studying","Science, Engineering, Technology, & Mathematics","Facebook",""
"05/09/2020 08:31","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","Master's degree","FST","Studying","Biology","Facebook",""
"05/09/2020 10:54","NA","NA","Male","Between 31 and 40","NA","NA","NA","India","Doctorate degree","None","Employed","Biology","Facebook","Na"
"05/09/2020 11:28","NA","NA","Female","Between 31 and 40","NA","NA","NA","Tunisia","Doctorate degree","None","Employed","Biology","Facebook",""
"05/09/2020 11:34","NA","NA","Female","Between 20 and 30","NA","NA","NA","Bangladesh","Master's degree","None","Studying","None","Facebook",""
"05/09/2020 12:34","NA","NA","Female","Between 20 and 30","NA","NA","NA","Tunisia","Doctorate degree","FST","Studying","Biology","Facebook",""
"05/09/2020 15:58","NA","NA","Male","Between 31 and 40","NA","NA","NA","Taiwan","Master's degree","None","Employed","Biology","Facebook",""
"06/09/2020 12:36","NA","NA","Female","Between 20 and 30","NA","NA","NA","Egypt","Engineering degree","GUC","Studying","Science, Engineering, Technology, & Mathematics","Facebook",""
"07/09/2020 06:39","NA","NA","Male","Between 20 and 30","NA","NA","NA","India","Master's degree","College of Biotechnology, SVPUAT, India","Studying","Biotechnology","Facebook",""
"07/09/2020 12:51","NA","NA","Male","More than 40","NA","NA","NA","USA","Doctorate degree","UofH","Employed","Human Capital","LinkedIn",""
